epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.5146,3.62786,4.66875,1.71356,0,0,0,0,3.04,4.69842,1.30181,0.00013336,0.00013336,0.00013336
2,92.5185,2.97862,4.34318,1.41986,0.00099,0.15,0.00071,0.00017,2.52945,4.41458,1.154,0.000143112,0.000143112,0.000143112
